year	rep	route	site_num	fish	C	H	M
2003	1	Upper Knight	2	85	0	0	0
2003	1	Upper Knight	2	86	0	0	0
2003	1	Upper Knight	2	87	0	0	0
2003	1	Upper Knight	2	88	0	0	0
2003	1	Upper Knight	2	89	0	0	0
2003	1	Upper Knight	2	90	0	0	0
2003	1	Upper Knight	2	91	0	0	0
2003	1	Upper Knight	2	92	0	0	0
2003	1	Upper Knight	2	93	0	0	0
2003	1	Upper Knight	2	94	0	0	0
2003	1	Upper Knight	2	95	0	0	0
2003	1	Upper Knight	2	96	0	0	0
2003	1	Upper Knight	2	97	0	0	0
2003	1	Upper Knight	2	98	0	0	0
2003	1	Upper Knight	2	99	0	0	0
2003	1	Upper Knight	2	100	0	0	0
2003	1	Upper Knight	3	1	0	0	0
2003	1	Upper Knight	3	2	0	0	0
2003	1	Upper Knight	3	3	0	0	0
2003	1	Upper Knight	3	4	0	0	0
2003	1	Upper Knight	3	5	0	0	0
2003	1	Upper Knight	3	6	0	0	0
2003	1	Upper Knight	3	7	0	0	0
2003	1	Upper Knight	3	8	0	0	0
2003	1	Upper Knight	3	9	0	0	0
2003	1	Upper Knight	3	10	0	0	0
2003	1	Upper Knight	3	11	0	0	0
2003	1	Upper Knight	3	12	0	0	0
2003	1	Upper Knight	3	13	0	0	0
2003	1	Upper Knight	3	14	0	0	0
2003	1	Upper Knight	3	15	0	0	0
2003	1	Upper Knight	3	16	0	0	0
2003	1	Upper Knight	3	17	0	0	0
2003	1	Upper Knight	3	18	0	0	0
2003	1	Upper Knight	3	19	0	0	0
2003	1	Upper Knight	3	20	0	0	0
2003	1	Upper Knight	3	21	0	0	0
2003	1	Upper Knight	3	22	0	0	0
2003	1	Upper Knight	3	23	0	0	0
2003	1	Upper Knight	3	24	0	0	0
2003	1	Upper Knight	3	25	0	0	0
2003	1	Upper Knight	3	26	0	0	0
2003	1	Upper Knight	3	27	0	0	0
2003	1	Upper Knight	3	28	0	0	0
2003	1	Upper Knight	3	29	0	0	0
2003	1	Upper Knight	3	30	0	0	0
2003	1	Upper Knight	3	31	0	0	0
2003	1	Upper Knight	3	32	0	0	0
2003	1	Upper Knight	3	33	0	0	0
2003	1	Upper Knight	3	34	0	0	0
2003	1	Upper Knight	3	35	0	0	0
2003	1	Upper Knight	3	36	0	0	0
2003	1	Upper Knight	3	37	0	0	0
2003	1	Upper Knight	3	38	0	1	0
2003	1	Upper Knight	3	39	0	0	0
2003	1	Upper Knight	3	40	0	0	0
2003	1	Upper Knight	3	41	0	0	0
